MCC Medicine Reg. No.	Applicants MCC Licence No	Applicant Name	Nappi Code	ATC 4	Medicine Schedule	Medicine Proprietary Name	Active Ingredients	Strength	Pack Size	Quantity	Manufacturer Price	Logistics Fee	VAT	SEP	Unit Price	Effective Date	Originator or Generic
28280729	0000000241	Johnson & Johnson (Pty) Ltd	820849006	N02BE	S2	Tylenol Pm	Diphenhydramine Hydrochloride										
291860349	0000000241	Johnson & Johnson (Pty) Ltd	832545007	D01AC	S1	Gyno Daktarin 	Miconazole Nitrate	1200 mg VAT	1	1	109.4	14.42	18.57	142.39	142.39	2018-04-01	Originator
G2370(Act1011965)	0000000241	Johnson & Johnson (Pty) Ltd	833568019	D06AX	S4	Cicatrin Powder 15G	Neomycin	3300 u/g POR	15	1	67.95	6.81	11.21	85.97	5.73	2018-04-01	Originator
G2370(Act1011965)	0000000241	Johnson & Johnson (Pty) Ltd	833568019	D06AX	S4	Cicatrin Powder 15G	Bacitracin Zinc										
G2370(Act1011965)	0000000241	Johnson & Johnson (Pty) Ltd	833568019	D06AX	S4	Cicatrin Powder 15G	Glycine										
G2370(Act1011965)	0000000241	Johnson & Johnson (Pty) Ltd	833568019	D06AX	S4	Cicatrin Powder 15G	L-cysteine										
G2370(Act1011965)	0000000241	Johnson & Johnson (Pty) Ltd	833568019	D06AX	S4	Cicatrin Powder 15G	Dl-threonine										
V2022251	0000000241	Johnson & Johnson (Pty) Ltd	835587002	D01AC	S1	Niz Shampoo	Ketoconazole	20 mg/g SHA	80	1	96.98	12.78	16.46	126.22	1.58	2018-04-01	Originator
E535	0000000241	Johnson & Johnson (Pty) Ltd	837091004	A03AX	S1	Chamb Trad Colic Rem 	Ether	467 mg/5ml SOL	25	1	16.74	1.68	2.76	21.18	0.85		Originator
E535	0000000241	Johnson & Johnson (Pty) Ltd	837091004	A03AX	S1	Chamb Trad Colic Rem 	Ether										
E535	0000000241	Johnson & Johnson (Pty) Ltd	837091004	A03AX	S1	Chamb Trad Colic Rem 	Blackberry Root Powder										
30280420	0000000241	Johnson & Johnson (Pty) Ltd	837423007	N02BE	S2	Tylenol Extende Relief	Paracetamol	650 mg CAP	24	1	33.31	4.37	5.65	43.33	1.81	2018-04-01	Originator
3111920402	0000000241	Johnson & Johnson (Pty) Ltd	848840003	A07DA	S2	Imodium Plus	Loperamide Hydrochloride	2 mg TAB	6	1	30.99	4.07	5.26	40.32	6.72	2018-04-01	Originator
3111920402	0000000241	Johnson & Johnson (Pty) Ltd	848840003	A07DA	S2	Imodium Plus	Simethicone										
291010288	0000000241	Johnson & Johnson (Pty) Ltd	862037018	R05CB	S2	Benylin Chesty	Orciprenaline Sulphate	5 mg/5ml LIQ	100	1	30.76	3.08	5.08	38.92	0.39	2018-04-01	Originator
291010288	0000000241	Johnson & Johnson (Pty) Ltd	862037018	R05CB	S2	Benylin Chesty	Orciprenaline										
291010288	0000000241	Johnson & Johnson (Pty) Ltd	862037026	R05CB	S2	Benylin Chesty	Orciprenaline Sulphate	5 mg/5ml LIQ	200	1	61.55	6.14	10.15	77.84	0.39	2018-04-01	Originator
291010288	0000000241	Johnson & Johnson (Pty) Ltd	862037026	R05CB	S2	Benylin Chesty	Orciprenaline										
34120058	0000000241	Johnson & Johnson (Pty) Ltd	881546003	P02CA	S1	Vermox Sd	Mebendazole Polymorph C	500 mg/10ml SUS	10	1	29.93	3.94	5.08	38.95	3.9		Originator
33580345	0000000241	Johnson & Johnson (Pty) Ltd	881570001	R01BA	S2	Benylin Four Flu Liquid	Paracetamol	1000 mg/20ml LIQ	200	1	54.05	5.42	8.92	68.39	0.34	2018-04-01	Originator
33580345	0000000241	Johnson & Johnson (Pty) Ltd	881570001	R01BA	S2	Benylin Four Flu Liquid	Diphenhydramide Hydrochloride										
33580345	0000000241	Johnson & Johnson (Pty) Ltd	881570001	R01BA	S2	Benylin Four Flu Liquid	Pseudoephedrine										
33580345	0000000241	Johnson & Johnson (Pty) Ltd	881570002	R01BA	S2	Benylin Four Flu Liquid	Paracetamol	1000 mg/20ml LIQ	100	1	27.03	2.7	4.46	34.19	0.34	2018-04-01	Originator
33580345	0000000241	Johnson & Johnson (Pty) Ltd	881570002	R01BA	S2	Benylin Four Flu Liquid	Pseudoephedrine Hydrochloride										
33580345	0000000241	Johnson & Johnson (Pty) Ltd	881570002	R01BA	S2	Benylin Four Flu Liquid	Diphenhidramine Chloride										
311010487	0000000241	Johnson & Johnson (Pty) Ltd	883879004	R05CA	S2	Benylin Bronchospect 	Guaifenesin	66.5 mg/5ml SOL	200	1	53.18	5.33	8.78	67.29	0.34		Originator
311010487	0000000241	Johnson & Johnson (Pty) Ltd	883879004	R05CA	S2	Benylin Bronchospect 	Terbutaline										
34340329	0000000241	Johnson & Johnson (Pty) Ltd	897795008	N07BA	S2	Nicorette Inhaler	Nicotine	10 mg INH	18	1	88.63	8.88	14.63	112.14	6.23	2018-04-01	Originator
H10112	0000000241	Johnson & Johnson (Pty) Ltd	999999999	R06AA	S2	Benylin Paediatric (Syrup)	Diphenhramine Hydrochloride	7 mg/5 ml SYR	100	1	18.63	1.86	3.07	23.56	0.24	2018-04-01	Generic
37340251	0000000248	Johnson & Johnson (Pty) Ltd	7708329001	L04AA	S4	CRB18250(1)CYPHER SELECT PLUS 18 X 2.5mm	Sirolimus	140 ug/cmÂ² DES	1		12779.51	672.6	2017.82	15469.93		2018-04-01	Originator
Z1015	0000000241	Johnson & Johnson Pty (Ltd)	789119006	R05DA	S2	Benylin Dry Cough	Dextromethorphan Hydrobromide	15 mg/5ml SYR	200	1	69.89	6.91	11.52	88.32	0.44		Originator
3620220453	0000000474	Key Oncologics (Pty) Ltd	700235001	J02AA	S4	AmBisome	Liposomal Amphotericin B	50 mg INJ	1	1	2203.28	23.53	334.02	2560.83	2560.83	2018-04-01	Originator
36260024	0000000474	Key Oncologics (Pty) Ltd	703386001	L01CD	S4	Biolyse Paclitaxel for Injection 	Paclitaxel	6 mg/ml INJ	5	1	320.32	25.98	51.94	398.24	79.65	2018-04-01	Generic
28240258	0000000474	Key Oncologics (Pty) Ltd	709228001	L04AX	S4	Thalidomide Celgene 50mg	Thalidomide	50 mg CAP	28	1	3063.19	161.22	483.66	3708.07	132.43		Originator
47320510	0000000474	Key Oncologics (Pty) Ltd	709424002	L04AX	S4	Revlimid 25mg	Lenalidomide	25 mg CAP	21	1	52330.14	523.3	7928.02	60781.46	2894.36	2018-04-01	Originator
47320507	0000000474	Key Oncologics (Pty) Ltd	709425002	L04AX	S4	Revlimid 5mg	Lenalidomide	5 mg CAP	21	1	49452.2	494.52	7492.01	57438.73	2735.18		Originator
A39850374	0000000474	Key Oncologics (Pty) Ltd	710080001	L01XX	S4	Thromboreductin 0.5mg	Anagrelide	0.5 mg CAP	100	1	4858.32	310.1	775.26	5943.68	59.44	2018-04-01	Generic
38260057	0000000474	Key Oncologics (Pty) Ltd	710351001	L01BB	S4	Litak 10	Cladribine	10 mg INJ	1	1	4662.29	274.09	740.46	5676.84	5676.84	2018-04-01	Generic
47320508	0000000474	Key Oncologics (Pty) Ltd	711342002	L04AX	S4	Revlimid 10mg	Lenalidomide	10 mg CAP	21	1	52330.14	523.3	7928.02	60781.46	2894.36		Originator
A40260521	0000000474	Key Oncologics (Pty) Ltd	712413001	L01BC	S4	Vidaza	Azacitadine	100 mg INJ	1	1	4460.13	272.65	709.92	5442.69	5442.69	2018-04-01	Originator
47320509	0000000474	Key Oncologics (Pty) Ltd	712414002	L04AX	S4	Revlimid 15mg	Lenalidomide	15 mg CAP	21	1	52330.14	523.3	7928.02	60781.46	2894.36		Originator
A40260352	0000000474	Key Oncologics (Pty) Ltd	713679001	L01DB	S4	"Doxorubicin ""Ebewe"" 10mg (5ml vial)"	Doxorubicin	10 mg/5ml SOL	1	1	65.54	7.27	10.92	83.73	83.73	2018-04-01	Generic
A40260353	0000000474	Key Oncologics (Pty) Ltd	713680001	L01DB	S4	"Doxorubicin ""Ebewe"" 50mg (25ml vial)"	Doxorubicin	50 mg/5ml SOL	1	1	327.69	36.39	54.61	418.69	418.69	2018-04-01	Generic
41260413	0000000474	Key Oncologics (Pty) Ltd	716039001	L01CA	S4	"Vinorelbin ""Ebewe"" 10mg"	Vinorelbine	10 mg/ml INF	1	1	260.84	19.13	42	321.97	321.97		Generic
41260414	0000000474	Key Oncologics (Pty) Ltd	716040001	L01CA	S4	"Vinorelbin ""Ebewe"" 50mg"	Vinorelbine	50 mg/5ml INF	1	1	1304.31	95.68	210	1609.98	1609.98	2018-04-01	Generic
A3926648	0000000474	Key Oncologics (Pty) Ltd	716857001	L02AE	S4	Eligard 7.5mg	Leuprolide 	7.5 mg INJ	1	1	1280.45	118.93	209.91	1609.29	1609.29		Originator
A3926649	0000000474	Key Oncologics (Pty) Ltd	716858001	L02AE	S4	Eligard 22.5mg	Leuprolide 	22.5 mg INJ	1	1	3203.36	297.59	525.14	4026.09	4026.09	2018-04-01	Originator
A3926651	0000000474	Key Oncologics (Pty) Ltd	716859001	L02AE	S4	Eligard 45mg	Leuprolide 	45 mg INJ	1	1	5170.9	480.37	847.69	6498.96	6498.96	2018-04-01	Originator
50260182	0000000474	Key Oncologics (Pty) Ltd	718697001	L01CD	S4	Abraxane	Albumin-bound Paclitaxel	5 mg/ml POI	20	1	5793.21	173.79	895.05	6862.05	343.1		Originator
A40260389	0000000474	Key Oncologics (Pty) Ltd	720412001	L01CD	S4	DOXOPEG	Doxorubicin Hydrochloride	2 mg/ml INF	10	1	4594.23	372.51	745.01	5711.75	571.17	2018-04-01	Generic
45260330	0000000474	Key Oncologics (Pty) Ltd	723795001	L01XA	S4	Oxaliplatin Key 50 	Oxaliplatin	5 mg/ml INF	10	1	800.93	120.12	138.16	1059.21	105.92		Generic
45260331	0000000474	Key Oncologics (Pty) Ltd	723796001	L01XA	S4	Oxaliplatin Key 100 	Oxaliplatin	5 mg/ml INF	20	1	1601.9	240.21	276.32	2118.42	105.92	2018-04-01	Generic
33820404	0000000474	Key Oncologics (Pty) Ltd	866997008	B01AE	S4	Refludin	Lepirudin	50 miu INJ	10	1	11058	342	1710	13110	1311	2018-04-01	
3513410384	0000000520	LeBasi Pharmaceuticals CC	700445001	D07XZ	S2	Vari-Hydrocortisone 1% Cream	Hydrocortisone	10 mg/g CRE	15	1	8	0.88	1.33	10.21	0.68		Generic
3513410384	0000000520	LeBasi Pharmaceuticals CC	700445002	D07XZ	S2	Vari-Hydrocortisone 1% Cream	Hydrocortisone	10 mg/g CRE	20	1	10.56	1.16	1.76	13.48	0.67	2018-04-01	Generic
351020142	0000000520	LeBasi Pharmaceuticals CC	700920001	R03CC	S2	Vari-Salbutamol 2mg/5ml Syrup	Salbutamol	2 mg/5ml SYR	100	1	9.96	1.09	1.66	12.71	0.13		Generic
3413410430	0000000520	LeBasi Pharmaceuticals CC	701138003	A07EA	S4	Vari-Betamethasone Cream	Betamethasone Valerate Equivalent To Betamethasone 	0.1 g/100 g CRE	15	1	7.5	0.83	1.25	9.58	0.64	2018-04-01	Generic
33270435	0000000520	LeBasi Pharmaceuticals CC	701140004	NO2BE	S1	Varipan 500 mg Tablets	Paracetamol 	500 mg TAB	1000	1	56.28	6.25	9.38	71.91	0.07	2018-04-01	Generic
361860130	0000000520	LeBasi Pharmaceuticals CC	703089001	G01AF	S2	Vari-Econazole Nitrate 1 % m/m Vaginal Cream	Econazole Nitrate 	10 mg/g CRE	80	1	189.76	21.08	31.63	242.47	3.03		Generic
A3920280110	0000000520	LeBasi Pharmaceuticals CC	709880001	J05AF	S4	Vari-Stavudine 30 mg	Stavudine	30 mg CAP	60	1	47	5.21	7.83	60.04	1	2018-04-01	Generic
3513410392	0000000520	LeBasi Pharmaceuticals CC	709886001	D01AC	S4	Elozart 	Miconazole Nitrate	20 mg/g CRE	15	1	38.75	4.32	6.46	49.53	3.3		Generic
3513410392	0000000520	LeBasi Pharmaceuticals CC	709886001	D01AC	S4	Elozart 	Miconazole Nitrate										
37280261	0000000520	LeBasi Pharmaceuticals CC	713688001	N02BE	S1	Vari-Cocodamol	Paracetamol 	500 mg TAB	1000	1	224.99	24.99	37.5	287.48	0.29	2018-04-01	Generic
37280261	0000000520	LeBasi Pharmaceuticals CC	713688001	N02BE	S1	Vari-Cocodamol	Codeine Phosphate										
42320055	0000000520	LeBasi Pharmaceuticals CC	713834001	V04CX	S4	Helicap	Urea	1.399 Âµg CAP	10	1	1082.54	81.48	174.6	1338.62	133.86	2018-04-01	Generic
3820280151	0000000520	LeBasi Pharmaceuticals CC	714827001	J05AR	S4	Colamziv 	Zidovudine	300 mg TAB	60	1	220.29	22.02	36.35	278.66	4.64		Generic
4120280296	0000000520	LeBasi Pharmaceuticals CC	714829001	J05AF	S4	Vari-Zidovudine 300 mg	Zidovudine	300 mg TAB	60	1	297.67	33.07	49.61	380.35	6.34	2018-04-01	Generic
A3920280610	0000000520	LeBasi Pharmaceuticals CC	714830001	J05AF	S4	Vari-Lamivudine 150 mg	Lamivudine	150 mg TAB	60	1	110.51	12.28	18.42	141.21	2.35	2018-04-01	Generic
A3920280112	0000000520	LeBasi Pharmaceuticals CC	714831001	J05AG	S4	Vari-Nevirapine 200 mg	Nevirapine	200 mg TAB	60	1	215.67	23.96	35.94	275.57	4.59		Generic
34240371	0000000520	LeBasi Pharmaceuticals CC	715292001	B05XA	S3	Euromed Lactated Ringer's Solution 	Sodium Chloride 	600 mg/100 ml SOL	1000	1	11.92	1.77	2.05	15.74	0.02	2018-04-01	Generic
34240371	0000000520	LeBasi Pharmaceuticals CC	715292001	B05XA	S3	Euromed Lactated Ringer's Solution 	Sodium Lactated Anhydrous										
34240371	0000000520	LeBasi Pharmaceuticals CC	715292001	B05XA	S3	Euromed Lactated Ringer's Solution 	Potassium Chloride										
34240371	0000000520	LeBasi Pharmaceuticals CC	715292001	B05XA	S3	Euromed Lactated Ringer's Solution 	Calcium Chloride Dihydrate										
34240371	0000000520	LeBasi Pharmaceuticals CC	715292002	B05XA	S3	Euromed Lactated Ringer's Solution 	Sodium Chloride 	600 mg/100 ml SOL	1000	12	143.21	21.36	24.69	189.26	0.02		Generic
34240371	0000000520	LeBasi Pharmaceuticals CC	715292002	B05XA	S3	Euromed Lactated Ringer's Solution 	Sodium Lactated Anhydrous										
34240371	0000000520	LeBasi Pharmaceuticals CC	715292002	B05XA	S3	Euromed Lactated Ringer's Solution 	Potassium Chloride										
34240371	0000000520	LeBasi Pharmaceuticals CC	715292002	B05XA	S3	Euromed Lactated Ringer's Solution 	Calcium Chloride Dihydrate										
33240539	0000000520	LeBasi Pharmaceuticals CC	715293001	B05XA	S3	Euromed 0.9% Sodium Chloride 1000 ml	Sodium Chloride 	900 mg/100 ml SOL	1000	1	11.13	1.66	1.92	14.71	0.01	2018-04-01	Generic
33240539	0000000520	LeBasi Pharmaceuticals CC	715293002	B05XA	S3	Euromed 0.9% Sodium Chloride 1000 ml	Sodium Chloride 	900 mg/100 ml SOL	1000	12	134.04	20.13	23.13	177.3	0.01		Generic
33240533	0000000520	LeBasi Pharmaceuticals CC	715294001	B05BA	S3	Euromed 5% Dextrose In Water	Dextrose Monohydrate	5 g/100ml SOL	1000	1	16.53	2.47	2.85	21.85	0.02	2018-04-01	Generic
33240533	0000000520	LeBasi Pharmaceuticals CC	715294002	B05BA	S3	Euromed 5% Dextrose In Water	Dextrose Monohydrate	5 g/100 ml SOL	1000	12	198.45	29.72	34.23	262.4	0.02		Generic
3513410392	0000000520	LeBasi Pharmaceuticals CC	715635001	D01AC	S4	Elozart	Miconazole Nitrate	20 mg/g CRE	20	1	51.64	5.74	8.61	65.99	3.3	2018-04-01	Generic
3513410392	0000000520	LeBasi Pharmaceuticals CC	715635001	D01AC	S4	Elozart	Hydrocortisone										
33240537	0000000520	LeBasi Pharmaceuticals CC	715746001	B05CB	S1	Euromed Sodium Chloride 0.9% Irrigation Solution 	Sodium Chloride	900 mg/100 ml SOL	1000	1	8.55	1.06	1.44	11.05	0.01		Generic
33240537	0000000520	LeBasi Pharmaceuticals CC	715746002	B05CB	S1	Euromed Sodium Chloride 0.9% Irrigation Solution 	Sodium Chloride	900 mg/100 ml SOL	1000	12	103.2	12.97	17.43	133.6	0.01	2018-04-01	Generic
33340540	0000000520	LeBasi Pharmaceuticals CC	715772001	V07AB	S3	Euromed Sterile Water For Injection	Water For Injection	1000 ml SOL	1000	1	8.48	1.04	1.43	10.95	0.01		Generic
3620220233	0000000520	LeBasi Pharmaceuticals CC	718641001	A01AB	S2	Vari Miconazole 2 % m/m Oral Gel	Miconazole	20 mg/g GEO	40	1	116.63	7.43	18.61	142.67	3.57	2018-04-01	Generic
4520110969	0000000520	LeBasi Pharmaceuticals CC	721676001	J01FA	S4	Jubazi 250	Azithromycin	250 mg TAB	6	1	84.37	7.58	13.79	105.74	17.62	2018-04-01	Generic
4520110970	0000000520	LeBasi Pharmaceuticals CC	721677001	J01FA	S4	Jubazi 500	Azithromycin	500 mg TAB	3	1	84.37	7.58	13.79	105.74	35.25		Generic
457150736	0000000520	LeBasi Pharmaceuticals CC	721871001	G04BE	S4	Sildojub 50 mg	Sildenafil	50 mg FCT	4	1	53.91	4.31	8.73	66.95	16.74	2018-04-11	Generic
457150736	0000000520	LeBasi Pharmaceuticals CC	721871002	G04BE	S4	Sildojub 50 mg	Sildenafil	50 mg FCT	12	1	161.73	12.93	26.2	200.86	16.74	2018-04-11	Generic
457150737	0000000520	LeBasi Pharmaceuticals CC	721979001	G04BE	S4	Sildojub 100 mg	Sildenafil	100 mg FCT	4	1	112.49	9	18.22	139.71	34.93	2018-04-11	Generic
457150737	0000000520	LeBasi Pharmaceuticals CC	721979002	G04BE	S4	Sildojub 100 mg	Sildenafil	100 mg FCT	12	1	337.47	27	54.67	419.14	34.93	2018-04-11	Generic
45531123	0000000520	LeBasi Pharmaceuticals CC	722953001	N06DA	S5	Jubezil 5	Donepezil Hydrochloride	5 mg FCT	30	1	197.39	15.78	31.98	245.15	8.17		Generic
45531124	0000000520	LeBasi Pharmaceuticals CC	722954001	N06DA	S5	Jubezil 10	Donepezil Hydrochloride	10 mg FCT	30	1	197.39	15.78	31.98	245.15	8.17	2018-04-01	Generic
467130124	0000000520	LeBasi Pharmaceuticals CC	723194001	C09CA	S3	Jubitan 150 mg	Irbesartan	150 mg FCT	28	1	65.37	5.24	10.59	81.2	2.9		Generic
467130125	0000000520	LeBasi Pharmaceuticals CC	723203001	C09CA	S3	Jubitan 300 mg	Irbesartan	300 mg FCT	28	1	65.37	5.24	10.59	81.2	2.9	2018-04-01	Generic
B2651017	0000000520	LeBasi Pharmaceuticals CC	751073008	N05AG	S5	Orap 1 mg	Pimozide	1 mg TAB	75	1	420.61	55.43	71.41	547.45	7.3	2018-04-01	Originator
K265137	0000000520	LeBasi Pharmaceuticals CC	751081019	N05AG	S5	Orap 4 mg	Pimozide	4 mg TAB	100	1	1496.99	197.32	254.15	1948.46	19.48		Originator
3720260075	0000001088	Litha Pharma (Pty) Ltd	700780001	P01BB	S4	Malanil	Atovaquone	250 mg TAB	12	1	352.56	21.15	56.06	429.77	35.81	2018-04-01	Originator
3420110045	0000001088	Litha Pharma (Pty) Ltd	701204007	J01DD	S4	Aspen Ceftriaxone 2G Injection	Ceftriaxone	2 g INJ	10	1	36.64	5.5	6.32	48.46	4.85		Generic
3120110353	0000001088	Litha Pharma (Pty) Ltd	701884003	J01DB	S4	Aspen Cefazolin 1000	Cefazolin	100 mg/ml INJ	10	10	125.91	6.63	19.88	152.41	1.52	2018-04-01	Generic
3120110352	0000001088	Litha Pharma (Pty) Ltd	701885004	J01DB	S4	Aspen Cefazolin 500	Cefazolin	50 mg/ml INJ	10	10	104.47	15.67	18.02	138.16	1.38	2018-04-01	Generic
3520110345	0000001088	Litha Pharma (Pty) Ltd	702483003	J01DD	S4	Rociject 1,0 G Injection	Ceftriaxone	1 g INJ	3.5	1	10.58	1.58	1.82	13.99	4	2018-04-11	Generic
3520110345	0000001088	Litha Pharma (Pty) Ltd	702483004	J01DD	S4	Rociject 1,0 G Injection	Ceftriaxone	1 g INJ	3.5	10	105.83	15.83	18.25	139.9	4	2018-04-11	Generic
3220230371	0000001088	Litha Pharma (Pty) Ltd	702844001	J04AB	S4	R-Cin Suspension	Rifampicin	100 mg/5ml SUS	180	1	149.64	26.41	26.41	202.46	1.12		Generic
3720110454	0000001088	Litha Pharma (Pty) Ltd	703067001	J01CR	S4	Tazobax	Piperacillin	4 g INJ	20	1	46.12	6.92	7.96	61	3.05	2018-04-16	Generic
3720110454	0000001088	Litha Pharma (Pty) Ltd	703067001	J01CR	S4	Tazobax	Tazobactam										
3720110352	0000001088	Litha Pharma (Pty) Ltd	703319001	J01DD	S4	Rociject 2,0 G Injection	Ceftriaxone	2 g INJ	40	1	33.62	5.04	5.8	44.46	1.11	2018-04-11	Generic
3720110368	0000001088	Litha Pharma (Pty) Ltd	703320001	J01DD	S4	Rociject 0,5 G Injection	Ceftriaxone	0.5 g INJ	2	1	15.03	2.25	2.59	19.88	9.94	2018-04-11	Generic
36540019	0000001088	Litha Pharma (Pty) Ltd	703546001	G04BD	S3	Detrunorm 	Propiverine	15 mg TAB	30	1	136.98	19.57	23.48	180.03	6		Generic
A38710355	0000001088	Litha Pharma (Pty) Ltd	704620001	C08CA	S3	Amlosyn 5,0 Mg	Amlodipine	5 mg TAB	30	1	52.76	9.31	9.31	71.38	2.38	2018-04-01	Generic
A38710356	0000001088	Litha Pharma (Pty) Ltd	704621001	C08CA	S3	Amlosyn 10 Mg	Amlodipine	10 mg TAB	30	1	82.14	14.5	14.5	111.14	3.7	2018-04-01	Generic
31310274	0000001088	Litha Pharma (Pty) Ltd	705300001	M01AE	S3	Aspen Naproxen 275 mg	Naproxen	275 mg TAB	60	1	233.05	41.13	41.13	315.3	5.26		Generic
A3920110125	0000001088	Litha Pharma (Pty) Ltd	705569001	J01DD	S4	Taziject 0,5 G	Ceftazidime	0.5 g INJ	1.5	1	57.95	8.69	10	76.64	51.09	2018-04-01	Generic
A3920110126	0000001088	Litha Pharma (Pty) Ltd	705570001	J01DD	S4	Taziject 1,0 G	Ceftazidime	1 g INJ	3	1	71.17	10.68	12.28	94.12	31.37		Generic
A3920110127	0000001088	Litha Pharma (Pty) Ltd	705572001	J01DD	S4	Taziject 2,0 G	Ceftazidime	2 g INJ	10	1	142.37	21.35	24.56	188.28	18.83	2018-04-01	Generic
A4020110454	0000001088	Litha Pharma (Pty) Ltd	709452001	J01MA	S4	Orpic 2 mg/ml IV	Ciprofloxacin	2 mg/ml INJ	50	1	18.11	2.72	3.12	23.95	0.48	2018-04-01	Generic
A4020110454	0000001088	Litha Pharma (Pty) Ltd	709455001	J01MA	S4	Orpic 2 mg/ml IV	Ciprofloxacin	2 mg/ml INJ	100	1	36.22	5.43	6.25	47.9	0.48		Generic
A4020110454	0000001088	Litha Pharma (Pty) Ltd	709456001	J01MA	S4	Orpic 2 mg/ml IV	Ciprofloxacin	2 mg/ml INJ	200	1	72.43	10.86	12.49	95.79	0.48	2018-04-01	Generic
417130002	0000001088	Litha Pharma (Pty) Ltd	710338001	C07AG	S3	Aspen Carvedilol 6,25 Mg	Carvedilol	6.25 mg TAB	30	1	54.84	8.23	9.46	72.52	2.42		Generic
417130003	0000001088	Litha Pharma (Pty) Ltd	710339001	C07AG	S3	Aspen Carvidelol 12,5 Mg	Carvedilol	12.5 mg TAB	30	1	55.87	9.86	9.86	75.59	2.52	2018-04-01	Generic
417130001	0000001088	Litha Pharma (Pty) Ltd	710340001	C07AG	S3	Aspen Carvidelol 25 Mg	Carvedilol	25 mg TAB	30	1	71.72	12.66	12.66	97.04	3.23	2018-04-01	Generic
A4020260165	0000001088	Litha Pharma (Pty) Ltd	711525001	P01AX	S4	Malanil Paediatric 	Atovaquone 	62.5 mg TAB	12	1	165.8	9.96	26.36	202.12	16.84		Originator
4220110510	0000001088	Litha Pharma (Pty) Ltd	713785001	J01MA	S4	Aspen Levofloxacin 500 mg	Levofloxacin	500 mg FCT	5	1	65.15	9.78	11.24	86.16	17.23	2018-04-01	Generic
4220110510	0000001088	Litha Pharma (Pty) Ltd	713785002	J01MA	S4	Aspen Levofloxacin 500 mg	Levofloxacin	500 mg FCT	10	1	130.29	19.55	22.48	172.32	17.23		Generic
4220110509	0000001088	Litha Pharma (Pty) Ltd	713786001	J01MA	S4	Aspen Levofloxacin 250 mg	Levofloxacin	250 mg FCT	5	1	41.04	6.16	7.08	54.28	10.86	2018-04-01	Generic
4220111002	0000001088	Litha Pharma (Pty) Ltd	717973001	J01MA	S4	Aspen Levofloxacin 5 mg/ml	Levofloxacin	5 mg/ml INF	100	1	78.42	11.76	13.53	103.7	1.04	2018-04-01	Generic
3720110136	0000001088	Litha Pharma (Pty) Ltd	718070001	J01DB	S4	Zefkol 0,5 g Injection	Cefazolin	0.5 g INJ	2	10	74.25	11.14	12.81	98.19	4.91		Generic
3720110137	0000001088	Litha Pharma (Pty) Ltd	718071001	J01DB	S4	Zefkol 1,0 g Injection	Cefazolin	1 g INJ	2.5	10	82.59	12.39	14.25	109.23	4.37	2018-04-01	Generic
4220110253	0000001088	Litha Pharma (PTY) Ltd	718626001	CH05	S4	Litha Piperacillin CO 4/0,5	Piperacillin	4 g INJ	20	1	152.02	12.33	24.65	188.99	9.45		Generic
4220110253	0000001088	Litha Pharma (PTY) Ltd	718626001	CH05	S4	Litha Piperacillin CO 4/0,5	Tazobactam										
43250823	0000001088	Litha Pharma (Pty) Ltd	718855001	N03AX	S3	EPIMATE 25	Topiramate	25 mg TAB	60	1	135.56	10.99	21.98	168.53	2.81	2018-04-01	Generic
43250824	0000001088	Litha Pharma (Pty) Ltd	718856001	N03AX	S3	EPIMATE 50	Topiramate	50 mg TAB	60	1	247.04	20.03	40.06	307.13	5.12		Generic
43250825	0000001088	Litha Pharma (Pty) Ltd	718857001	N03AX	S3	EPIMATE 100	Topiramate	100 mg TAB	60	1	419.09	33.98	67.96	521.03	8.68	2018-04-01	Generic
43250826	0000001088	Litha Pharma (Pty) Ltd	718858001	N03AX	S3	EPIMATE 200	Topiramate	200 mg TAB	60	1	621.98	50.43	100.86	773.27	12.89		Generic
4310220512	0000001088	Litha Pharma (PTY) Ltd	719848001	R05CB	S2	LITHAFIZZ	Acetylcysteine	200 mg EFT	20	1	41.91	3.16	6.76	51.82	2.59	2018-04-01	Generic
4311430696	0000001088	Litha Pharma (PTY) Ltd	720116001	A02BC	S4	PANTOR 20	Pantoprozole Sodium Sesquihydrate	20 mg TAB	30	1	116.73	9.46	18.93	145.12	4.84	2018-04-01	Generic
4311430697	0000001088	Litha Pharma (PTY) Ltd	720117001	A02BC	S4	PANTOR 40	Pantoprozole Sodium Sesquihydrate	40 mg TAB	30	1	157.58	12.78	25.55	195.91	6.53		Generic
42251017	0000001088	Litha Pharma (Pty) Ltd	720320001	N03AX	S3	Torcetam 250	Levetiracetam	250 mg TAB	60	1	139.06	11.28	22.55	172.89	2.88	2018-04-01	Generic
42251018	0000001088	Litha Pharma (Pty) Ltd	720322001	N03AX	S3	Torcetam 500	Levetiracetam	500 mg TAB	60	1	278.14	22.55	45.1	345.79	5.76		Generic
42251019	0000001088	Litha Pharma (Pty) Ltd	720323001	N03AX	S3	Torcetam 750	Levetiracetam	750 mg TAB	60	1	417.21	33.83	67.66	518.69	8.64	2018-04-01	Generic
4921820574	0000001088	Litha Pharma (Pty) Ltd	723165001	G03AC	S2	Vonel	Levonorgestrel	0.75 mg TAB	2	1	41.04	5.07	6.92	53.03	26.52	2018-04-01	Generic
M2012293	0000001088	Litha Pharma (Pty) Ltd	744689007	J01CA	S4	Moxypen - 250	Amoxicillin	250 mg CAP	15	1	5.99	1.05	1.06	8.1	0.54		Generic
