drug_code,ingredient_name,strength
2298,SALIX NIGRA,10 D
2304,SAMBUCUS NIGRA,8 D
2304,SAMBUCUS NIGRA,4 D
2304,SARSAPARILLA,12 D
2304,SARSAPARILLA,4 D
2304,LIME TREE FLOWER,4 D
2304,COUCH GRASS,10 D
2304,VERBASCUM THAPSUS,6 D
2304,VERBASCUM THAPSUS,12 D
2304,VERBENA OFFICINALIS,10 D
2304,VANADIUM,10 D
2304,VANADIUM,6 D
2304,COUCH GRASS,3 D
2304,UVA URSI,12 D
2304,UVA URSI,4 D
2304,VALERIAN,12 D
2304,SODIUM BORATE,4 D
2306,CYNARA SCOLYMUS,10 D
2306,EUPHORBIA CYPARISSIAS,30 D
2306,EUPHORBIA CYPARISSIAS,200 D
2306,EUPHORBIA CYPARISSIAS,10 D
2306,EUPHORBIA CYPARISSIAS,4 D
2306,FERRUM ACETICUM,10 D
2306,FERRUM ACETICUM,6 D
2306,ASPIDIUM,4 D
2306,FENNEL,10 D
2306,FENNEL,4 D
2306,ALDER BUCKTHORN,10 D
2306,ALDER BUCKTHORN,6 D
2306,GALEGA OFFICINALIS,10 D
2310,LOBELIA INFLATA,4 D
2310,LACHNANTHES TINCTORIA (HOMEO),10 D
2310,PIMPINELLA SAXIFRAGA,10 D
2310,PLATINUM,12 D
2310,PODOPHYLLUM,12 D
2310,BISMUTH SUBNITRATE,6 D
2310,DEAD NETTLE,8 D
2312,TORMENTILLA,10 D
2312,TORMENTILLA,4 D
2312,BLACKROOT,3 D
2312,TUSSILAGO PETASITES,4 D
2312,BLACKROOT,10 D
2312,PREDNISOLONE,2.5 MG
2312,DL-METHIONINE,2.2 MG
2312,IODINE (POTASSIUM IODIDE),.1 MG
2312,NICOTINAMIDE,60 MG
2316,D-PANTOTHENIC ACID (CALCIUM D-PANTOTHENATE),30 MG
2316,CHOLINE BITARTRATE,30 MG
2316,INOSITOL,30 MG
2316,BIOTIN,30 MCG
2316,VITAMIN D2 (VITAMIN D2),400 UNIT
2316,MAGNESIUM (MAGNESIUM OXIDE),100 MG
2320,VITAMIN B1 (THIAMINE MONONITRATE),30 MG
2320,VITAMIN B2,30 MG
2320,COPPER (COPPER GLUCONATE),1 MG
2320,VITAMIN E (D-ALPHA TOCOPHERYL ACETATE),60 UNIT
2335,VITAMIN A (VITAMIN A ACETATE),10000 UNIT
2337,VITAMIN C,200 MG
2337,IRON (IRON OXIDE),4 MG
2337,CHROMIUM HVP CHELATE (CHROMIC OXIDE),500 MCG
2337,CALCIUM (BONE MEAL),140 MG
2337,VITAMIN B6 (PYRIDOXINE HYDROCHLORIDE),30 MG
2337,POTASSIUM (POTASSIUM GLUCONATE),30 MG
2337,ZINC (ZINC GLUCONATE),10 MG
2338,FOLIC ACID,.15 MG
2340,VITAMIN B12,60 MCG
2342,SELENIUM (YEAST),10 MCG
2342,CHLORAMPHENICOL,.5 %
162,KETOPROFEN,50 MG
162,CEFUROXIME (CEFUROXIME SODIUM),750 MG
183,FENTANYL,25 MCG
186,FENTANYL,50 MCG
189,FENTANYL,75 MCG
189,FENTANYL,100 MCG
203,MECLOFENAMIC ACID,50 MG
204,PSEUDOEPHEDRINE HYDROCHLORIDE,120 MG
214,PEPPERMINT OIL,187 MG
215,GLYCERINE,70 %
215,TETANUS TOXOID ANTIGEN,550000 UNIT
215,PROTEUS MIRABILIS ANTIGEN,150 UNIT
216,TRICHOPHYTON MENTAGROPHYTES ANTIGEN,150 UNIT
3356,CANDIDA ALBICANS ANTIGEN,2000 UNIT
3356,STREPTOCOCCUS ANTIGEN GROUP C,2000 UNIT
3358,TUBERCULIN OLD,300000 UNIT
3360,DIPHTHERIA TOXOID ANTIGEN,1100000 UNIT
3360,FELODIPINE,10 MG
3360,FELODIPINE,5 MG
3361,GENTAMICIN (GENTAMICIN SULFATE),1.2 MG
3368,SODIUM CHLORIDE,9 MG
3373,GENTAMICIN (GENTAMICIN SULFATE),0.8 MG
3373,SODIUM CHLORIDE,9 MG
3373,METOCLOPRAMIDE HYDROCHLORIDE,1 MG
3373,METOCLOPRAMIDE HYDROCHLORIDE,10 MG
3373,FENFLURAMINE HYDROCHLORIDE,20 MG
3373,IMMUNOGLOBULIN (HUMAN),165 MG
3373,BRETYLIUM TOSYLATE,50 MG
3377,DICHLORVOS (D.D.V.P.),9.6 %
3377,CHLORAMPHENICOL,250 MG
3381,TERCONAZOLE,0.8 %
3381,WATER,100 ML
3381,IMMUNOGLOBULIN (HUMAN),5 G
3381,IVERMECTIN,272 MCG
3381,CYTARABINE,100 MG
3381,HYDRALAZINE HYDROCHLORIDE,10 MG
3386,CLONIDINE HYDROCHLORIDE,.2 MG
3387,CLONIDINE HYDROCHLORIDE,.1 MG
3387,PRAZOSIN HYDROCHLORIDE,1 MG
3387,PRAZOSIN HYDROCHLORIDE,2 MG
3387,PRAZOSIN HYDROCHLORIDE,5 MG
3387,SULFACETAMIDE SODIUM,100 MG
3388,PREDNISOLONE SODIUM PHOSPHATE,2.5 MG
3388,PSEUDOEPHEDRINE HYDROCHLORIDE,60 MG
3388,HYDROCORTISONE (HYDROCORTISONE SODIUM SUCCINATE),500 MG
3388,VITAMIN E (D-ALPHA TOCOPHERYL ACID SUCCINATE),400 UNIT
3389,VITAMIN E (D-ALPHA TOCOPHERYL ACETATE),400 UNIT
3389,VITAMIN E (D-ALPHA TOCOPHERYL ACETATE),400 UNIT
3393,VITAMIN E (D-ALPHA TOCOPHERYL ACETATE),800 UNIT
3398,D-ALPHA TOCOPHERYL ACETATE,200 UNIT
3398,PHENYLPROPANOLAMINE HYDROCHLORIDE,18.75 MG
3398,ACETAMINOPHEN,500 MG
3398,LABETALOL HYDROCHLORIDE,5 MG
3398,ACETAMINOPHEN,500 MG
3398,TESTOSTERONE PROPIONATE,100 MG
3398,TROLAMINE SALICYLATE,15 %
3398,PSEUDOEPHEDRINE HYDROCHLORIDE,60 MG
3398,DEXTROMETHORPHAN HYDROBROMIDE,30 MG
3398,BENZALKONIUM CHLORIDE,20 %
3398,DOCUSATE CALCIUM,240 MG
3398,IOVERSOL,34 %
3398,PIPERACILLIN (PIPERACILLIN SODIUM),40 G
3398,SODIUM FLUORIDE,.05 %
3398,CETYLPYRIDINIUM CHLORIDE,.05 %
3398,LINOLEIC ACID,78 MG
3398,GAMMA-LINOLENIC ACID,41 MG
3398,D-ALPHA TOCOPHEROL,10 UNIT
3398,SODIUM FLUORIDE,.243 %
3398,SODIUM BICARBONATE,2.1 MG
3398,DEXTROSE,0.92 MG
3398,POTASSIUM CHLORIDE,0.38 MG
3405,SODIUM CHLORIDE,7.14 MG
3405,SODIUM PHOSPHATE DIBASIC,0.42 MG
3405,GLUTATHIONE DISULFIDE,0.184 MG
3405,MAGNESIUM CHLORIDE,0.2 MG
3405,CALCIUM CHLORIDE,0.154 MG
3405,STANNOUS FLUORIDE,1.64 %
3405,STANNOUS FLUORIDE,1.64 %
3408,DYCLONINE HYDROCHLORIDE,.1 %
3410,ENROFLOXACIN,50 MG
3412,METHYLTESTOSTERONE,10 MG
3412,PYRANTEL TARTRATE,106 G
3412,CARBADOX,55 G
3412,OXFENDAZOLE,90.6 MG
1179,IODINE (KELP),.0375 MG
1179,MAGNESIUM (MAGNESIUM OXIDE),125 MG
1180,COPPER (COPPER GLUCONATE),.75 MG
1180,IRON (IRON PROTEINATE),7.5 MG
1180,CHROMIUM (CHROMIC CHLORIDE),25 MCG
1180,CALCIUM (CALCIUM CITRATE),250 MG
1180,MANGANESE (MANGANESE HVP CHELATE),2.5 MG
1180,POTASSIUM (POTASSIUM HVP CHELATE),23.75 MG
1180,ZINC (ZINC HVP CHELATE),5.625 MG
1182,SELENIUM (YEAST),50 MCG
1183,KETOROLAC TROMETHAMINE,10 MG
1186,DIMETHICONE,40 MG
1188,MEGESTROL ACETATE,5 MG
1200,ALCOHOL ANHYDROUS,49.95 %
1206,P-TERT-PENTYLPHENOL,.045 %
1207,O-PHENYLPHENOL,.176 %
1209,DL-ALPHA TOCOPHERYL ACETATE,50 UNIT
1211,BETHANECHOL CHLORIDE,25 MG
1211,VANCOMYCIN (VANCOMYCIN HYDROCHLORIDE),10 G
1211,BENZOCAINE,14 MG
1211,ANTIPYRINE,54 MG
1211,PROMETHAZINE HYDROCHLORIDE,25 MG
1211,BENZOYL PEROXIDE,5 %
1211,PENICILLIN G SODIUM,5000000 UNIT
1211,PENICILLIN G SODIUM,1000000 UNIT
1211,PENICILLIN G POTASSIUM,5000000 UNIT
1216,PENICILLIN G POTASSIUM,1000000 UNIT
1216,MENTHOL,10 %
1216,BETA-CAROTENE,10000 UNIT
1218,GAMMA-LINOLENIC ACID,90 MG
1218,PENTOSTATIN,10 MG
1218,MEFLOQUINE (MEFLOQUINE HYDROCHLORIDE),250 MG
1219,TRICLOSAN,.3 %
1219,DIDECYL DIMETHYL AMMONIUM CHLORIDE,.5 %
1224,CHLORHEXIDINE GLUCONATE,.1 %
1226,ISOPROPYL ALCOHOL,5 %
1226,DERMATOPHAGOIDES FARINAE,15000 UNIT
1226,DERMATOPHAGOIDES PTERONYSSINUS,15000 UNIT
1227,DERMATOPHAGOIDES PTERONYSSINUS,30000 UNIT
1227,THEOPHYLLINE,300 MG
1227,BETA-CAROTENE,10000 UNIT
1227,DERMATOPHAGOIDES FARINAE,5000 UNIT
1228,DERMATOPHAGOIDES PTERONYSSINUS,5000 UNIT
1228,DERMATOPHAGOIDES FARINAE,10000 UNIT
1228,DERMATOPHAGOIDES FARINAE,30000 UNIT
1229,DERMATOPHAGOIDES PTERONYSSINUS,10000 UNIT
1229,LANOLIN,72 %
1229,BENZALKONIUM CHLORIDE,1.25 %
1229,ALKYL DIMETHYL ETHYLBENZYL AMMONIUM CHLORIDE,1.25 %
1230,BENZALKONIUM CHLORIDE,1.25 %
1230,ALKYL DIMETHYL ETHYLBENZYL AMMONIUM CHLORIDE,1.25 %
1230,BENZALKONIUM CHLORIDE,5 %
1230,ALKYL DIMETHYL ETHYLBENZYL AMMONIUM CHLORIDE,5 %
1230,VITAMIN D2,200 UNIT
1230,VITAMIN C,10 MG
1230,CALCIUM (CALCIUM CARBONATE),500 MG
1231,TRICLOSAN,0.3 %
1231,VITAMIN E (DL-ALPHA TOCOPHERYL ACETATE),136 UNIT
1231,SELENIUM (SODIUM SELENITE),3 MG
1231,NAPROXEN SODIUM,550 MG
1231,VERONICA OFFICINALIS,0.5 MG
1231,ALTHAEA OFFICINALIS,0.5 MG
1231,THYME,0.5 MG
1231,PLANTAGO CORDATA,0.5 MG
1232,PEPPERMINT OIL,0.7 MG
1232,MALLOW,0.5 MG
1232,VITAMIN C,25 MG
1232,BURNET,0.5 MG
1232,MENTHOL,0.5 MG
1232,PARSLEY PIERT,0.5 MG
1236,HOREHOUND,0.5 MG
1236,NICOTINAMIDE (NIACINAMIDE ASCORBATE),25 MG
2349,THIAMINE MONONITRATE,4.5 MG
2349,D-PANTOTHENIC ACID (CALCIUM D-PANTOTHENATE),15 MG
2349,PYRIDOXINE HYDROCHLORIDE,3 MG
2387,BIOTIN,50 MCG
2387,DL-ALPHA TOCOPHERYL ACETATE,25 UNIT
2388,MAGNESIUM (MAGNESIUM OXIDE),100 MG
2388,VITAMIN B2,7.5 MG
2388,BETA-CAROTENE,4000 UNIT
2388,COPPER (CUPRIC OXIDE),2 MG
2388,VITAMIN D,400 UNIT
2388,"VITAMIN C (NIACINAMIDE ASCORBATE, VITAMIN C)",125 MG
2394,IRON (FERROUS FUMARATE),10 MG
2402,CHROMIUM (YEAST),27 MCG
2402,MOLYBDENUM (YEAST),27 MCG
2414,RETINOL PALMITATE,2000 UNIT
2414,"PHOSPHORUS (CALCIUM PHOSPHATE (DIBASIC), CALCIUM PHOSPHATE (TRIBASIC))",126 MG
2414,"CALCIUM (CALCIUM PHOSPHATE (DIBASIC), CALCIUM PHOSPHATE (TRIBASIC))",210 MG
2414,MANGANESE (MANGANESE SULFATE),7 MG
2414,POTASSIUM (POTASSIUM CHLORIDE),32 MG
2414,ZINC (ZINC OXIDE),17 MG
2414,FOLIC ACID,.4 MG
2414,VITAMIN B12,10 MCG
2415,SELENIUM (YEAST),27 MCG
2415,IODINE (SODIUM IODIDE),.2 MG
2415,NICOTINAMIDE (NIACINAMIDE ASCORBATE),25 MG
2415,THIAMINE MONONITRATE,3 MG
2415,D-PANTOTHENIC ACID (CALCIUM D-PANTOTHENATE),12 MG
2415,PYRIDOXINE HYDROCHLORIDE,3 MG
2415,BIOTIN,50 MCG
2415,DL-ALPHA TOCOPHERYL ACETATE,25 UNIT
2416,MAGNESIUM (MAGNESIUM OXIDE),100 MG
2416,VITAMIN B2,5 MG
2416,BETA-CAROTENE,3000 UNIT
2416,COPPER (CUPRIC OXIDE),2 MG
2416,VITAMIN D,400 UNIT
2416,"VITAMIN C (NIACINAMIDE ASCORBATE, VITAMIN C)",100 MG
2416,IRON (FERROUS FUMARATE),10 MG
2416,CHROMIUM (YEAST),27 MCG
2417,MOLYBDENUM (YEAST),27 MCG
2417,RETINOL PALMITATE,2000 UNIT
2417,"PHOSPHORUS (CALCIUM PHOSPHATE (DIBASIC), CALCIUM PHOSPHATE (TRIBASIC))",126 MG
2417,"CALCIUM (CALCIUM PHOSPHATE (DIBASIC), CALCIUM PHOSPHATE (TRIBASIC))",192 MG
2417,MANGANESE (MANGANESE SULFATE),7 MG
2417,POTASSIUM (POTASSIUM CHLORIDE),32 MG
2417,ZINC (ZINC OXIDE),17 MG
2417,FOLIC ACID,.4 MG
2417,VITAMIN B12,10 MCG
2418,SELENIUM (YEAST),27 MCG
2418,PHENYLPROPANOLAMINE HYDROCHLORIDE,6.25 MG
2418,BROMPHENIRAMINE MALEATE,1 MG
2418,MORPHINE SULFATE,2 MG
2418,TERFENADINE,60 MG
230,OFLOXACIN,300 MG
235,OFLOXACIN,400 MG
235,MEDROXYPROGESTERONE ACETATE,5 MG
235,OFLOXACIN,200 MG
235,ACETAMINOPHEN,160 MG
235,CLOMIPRAMINE HYDROCHLORIDE,10 MG
235,CLOMIPRAMINE HYDROCHLORIDE,50 MG
235,CLOMIPRAMINE HYDROCHLORIDE,25 MG
235,SALSALATE,500 MG
235,SALSALATE,750 MG
235,PHENYLPROPANOLAMINE HYDROCHLORIDE,25 MG
235,BROMPHENIRAMINE MALEATE,4 MG
235,CHARCOAL ACTIVATED,6 D
235,FERRUM PHOSPHORICUM,6 D
235,IPECAC,6 D
235,SULFUR,6 D
235,SILICON DIOXIDE,6 D
235,POISON OAK,6 D
235,PULSATILLA,6 D
235,LANOLIN,2 %
235,PHOSPHORIC ACID,11.5 %
238,NONYL PHENOXY POLYOXYETHYLENE ETHANOL-IODINE COMPLEX,16.84 %
238,OXYMORPHONE HYDROCHLORIDE,1.5 MG
238,CHAMOMILE,6 D
238,PYRIDOXINE HYDROCHLORIDE,.4 MG
238,BETA-CAROTENE,200 UNIT
238,VITAMIN C,20 MG
238,RETINOL PALMITATE,200 UNIT
238,ZINC (ZINC GLUCONATE),.4 MG
238,TROLAMINE SALICYLATE,15 %
238,MAGNESIUM HYDROXIDE,145 MG
238,CALCIUM CARBONATE,660 MG
238,DICLOFENAC SODIUM,25 MG
238,DICLOFENAC SODIUM,50 MG
238,AMPICILLIN,250 MG
238,AMPICILLIN,500 MG
238,BETA-CAROTENE,25000 UNIT
238,DL-ALPHA TOCOPHERYL ACETATE,200 UNIT
238,BETA-CAROTENE,10000 UNIT
238,VITAMIN C,250 MG
238,BUSERELIN (BUSERELIN ACETATE),1 MG
238,CHLOROQUINE DIPHOSPHATE,250 MG
244,CALCIUM (CALCIUM CARBONATE),500 MG
245,PROPRANOLOL HYDROCHLORIDE,40 MG
247,BENZALKONIUM CHLORIDE,.2 %
249,ALKYL DIMETHYL ETHYLBENZYL AMMONIUM CHLORIDE,.2 %
252,THIAMINE MONONITRATE,.75 MG
253,D-PANTOTHENIC ACID (CALCIUM D-PANTOTHENATE),25 MG
253,BIOTIN,150 MCG
253,VITAMIN B2,.85 MG
253,BETA-CAROTENE,.3 MG
253,"VITAMIN E (D-ALPHA TOCOPHERYL ACID SUCCINATE, MIXED TOCOPHEROLS)",100 UNIT
253,"VITAMIN A (RETINOL PALMITATE, SPIRULINA)",2000 UNIT
253,"VITAMIN C (ASCORBIC ACID, NIACINAMIDE ASCORBATE, ACEROLA, CHERRY)",150 MG
261,NICOTINIC ACID (NIACINAMIDE ASCORBATE),10 MG
268,"VITAMIN B6 (PYRIDOXINE HYDROCHLORIDE, PYRIDOXAL-5-PHOSPHATE)",3 MG
268,FOLIC ACID,200 MCG
268,VITAMIN B12 (COBAMAMIDE),3 MCG
268,IODINE (POTASSIUM IODIDE),.026 MG
271,NICOTINAMIDE,3.5 MG
271,THIAMINE HYDROCHLORIDE,1 MG
271,PYRIDOXINE HYDROCHLORIDE,1.7 MG
271,BIOTIN,67.5 MCG
271,MIXED TOCOPHEROLS,40 UNIT
271,MAGNESIUM (MAGNESIUM CITRATE),75 MG
272,VITAMIN B2,1 MG
3415,BETA-CAROTENE,2000 UNIT
3416,COPPER (COPPER GLUCONATE),.5 MG
3416,VITAMIN C,150 MG
3416,IRON (FERROUS FUMARATE),2 MG
3417,CHROMIUM (CHROMIC OXIDE),25 MCG
3418,MOLYBDENUM (MOLYBDENUM PROTEINATE),25 MCG
3433,RETINOL PALMITATE,500 UNIT
3434,PHOSPHORUS (POTASSIUM PHOSPHATE DIBASIC),100 MG
3434,CALCIUM (CALCIUM CITRATE),100 MG
3434,MANGANESE (MANGANESE GLUCONATE),.65 MG
3434,POTASSIUM (POTASSIUM PHOSPHATE DIBASIC),210 MG
3434,ZINC (ZINC CITRATE),5 MG
3435,FOLIC ACID,.04 MG
3435,VITAMIN B12,1.8 MCG
3437,SELENIUM (SODIUM SELENITE),20 MCG
3437,HELLEBORUS NIGER,12 D
3439,GLUTARAL,2 %
3439,DEXTROSE,47.562 G
3441,POTASSIUM CHLORIDE,1.491 G
3441,SODIUM CHLORIDE,4.675 G
3441,GLYCINE,6.006 G
3441,SODIUM ACETATE,13.125 G
3441,CITRIC ACID,1 G
3441,POTASSIUM PHOSPHATE DIBASIC,1.742 G
3441,POVIDONE-IODINE,5.3 %
3441,POLYETHOXY POLYPROPOXY POLYETHOXY ETHANOL - IODINE COMPLEX,.9 %
3441,VITAMIN C,2 MG
3441,POTASSIUM CITRATE,19.5 MG
3441,HYDROCHLOROTHIAZIDE,25 MG
3441,PROPRANOLOL HYDROCHLORIDE,40 MG
3441,VITAMIN D,125 UNIT
3441,CALCIUM (CALCIUM CARBONATE),500 MG
3441,HYDROCHLOROTHIAZIDE,25 MG
3444,PROPRANOLOL HYDROCHLORIDE,80 MG
3445,CONJUGATED ESTROGENS,0.9 MG
3445,HYDROCODONE BITARTRATE,1 MG
3447,IRIS GERMANICA,10 D
3448,IRIS GERMANICA,4 D
3448,IRIS VERSICOLOR,4 D
3448,JALAP,10 D
3448,PILOCARPUS,12 D
3448,JUGLANS REGIA,4 D
3448,JALAP,6 D
3448,POTASSIUM ACETATE,4 D
3448,POTASSIUM ACETATE,12 D
3450,JUNIPER BERRIES,4 D
3450,JUNIPER BERRIES,12 D
3461,POTASSIUM CARBONATE,12 D
3462,POTASSIUM CHLORIDE,12 D
3467,KALI CYANATUM,8 D
3473,GUAIFENESIN,100 MG
3473,PYRILAMINE MALEATE,6.25 MG
3473,PHENIRAMINE MALEATE,6.25 MG
3473,PHENYLPROPANOLAMINE HYDROCHLORIDE,12.5 MG
3473,HYDROCODONE BITARTRATE,1.67 MG
3473,CEFAZOLIN (CEFAZOLIN SODIUM),500 MG
3473,TRIFLUOPERAZINE (TRIFLUOPERAZINE HYDROCHLORIDE),10 MG
3473,DIPHENHYDRAMINE HYDROCHLORIDE,25 MG
3473,MENTHOL,20 %
3473,METHYL SALICYLATE,20 %
3479,SALICYLIC ACID,30 %
1240,ALCOHOL ANHYDROUS,66.825 %
1241,P-TERT-PENTYLPHENOL,.054 %
1246,O-PHENYLPHENOL,.216 %
1247,BENZALKONIUM CHLORIDE,2.25 %
1248,ALKYL DIMETHYL ETHYLBENZYL AMMONIUM CHLORIDE,2.25 %
1249,GINGER,200 MG
1249,CAPSICUM,100 MG
1249,MAGNESIUM HYDROXIDE,27 G
1250,ACETYLSALICYLIC ACID,15.6 G
1250,RETINOL PALMITATE,10000 UNIT
1250,BENZALKONIUM CHLORIDE,.3 %
1250,BENZALKONIUM CHLORIDE,.8 %
1251,ALKYL DIMETHYL ETHYLBENZYL AMMONIUM CHLORIDE,.8 %
1251,CHLORHEXIDINE GLUCONATE,2 %
1251,CHLORHEXIDINE GLUCONATE,4 %
1257,ISOPROPYL ALCOHOL,4 %
1257,ALUMINUM ACETATE,10 %
1257,ACETIC ACID,1.5 %
1260,TRIMIPRAMINE (TRIMIPRAMINE MALEATE),50 MG
1260,KETOPROFEN,100 MG
1260,NILUTAMIDE,50 MG
1261,NILUTAMIDE,100 MG
1261,VALINE,1.24 G
1261,LEUCINE,1.38 G
1262,ISOLEUCINE,1.38 G
1262,FOSINOPRIL SODIUM,10 MG
1262,FOSINOPRIL SODIUM,20 MG
1268,TICLOPIDINE HYDROCHLORIDE,250 MG
1269,PROTEASE,70000 UNIT
1278,LIPASE,16800 UNIT
1278,AMYLASE,70000 UNIT
1278,ATTAPULGITE (ACTIVATED),600 MG
1278,GLUTARAL,3.2 %
1278,GLUTARAL,12.5 %
1278,P-TERT-PENTYLPHENOL,0.1 %
1279,O-PHENYLPHENOL,0.5 %
1279,GLUTARAL,10 %
1279,NITROGEN,99 %
1279,THEOPHYLLINE,300 MG
1291,TAMOXIFEN CITRATE,10 MG
1291,TAMOXIFEN CITRATE,20 MG
1291,SOMATREM,5 MG
1291,WATER,10 ML
1306,TERAZOSIN HYDROCHLORIDE,10 MG
1307,BENZALKONIUM CHLORIDE,5 %
1307,PRAMOXINE HYDROCHLORIDE,1 %
1307,CARBO ANIMALIS,12 D
2418,OCTINOXATE,5.5 %
2418,AVOBENZONE,2 %
2418,OCTINOXATE,8 %
2418,ENSULIZOLE,1.5 %
2419,OCTINOXATE,.6 %
2419,XANTHINOL NIACINATE,300 MG
2419,PHENYLPROPANOLAMINE HYDROCHLORIDE,100 MG
2419,PHENYLTOLOXAMINE CITRATE,66 MG
2419,ACETAMINOPHEN,600 MG
2419,TRICLOSAN,.15 %
2419,CHLOROXYLENOL,.15 %
2419,CLOROPHENE,8.5 %
2419,P-TERT-PENTYLPHENOL,2 %
2420,O-PHENYLPHENOL,10 %
2420,DEXTROSE,50 %
2420,DOCUSATE SODIUM,60 MG
2420,PENICILLIN G PROCAINE,300000 UNIT
2420,SULFAMETHAZINE,8.8 MG
2420,NEOMYCIN (NEOMYCIN SULFATE),4.4 MG
2420,SULFATHIAZOLE,26.4 MG
2420,GENTIAN VIOLET,2.4 MG
2420,NEOMYCIN (NEOMYCIN SULFATE),1 MG
2420,GLYCERINE,10 %
2420,POLYETHOXY POLYPROPOXY POLYETHOXY ETHANOL - IODINE COMPLEX,5.69 %
2425,NONYL PHENOXYPOLY ETHOXY ETHANOL-IODINE,5.46 %
2425,LANOLIN,78.5 MG
2440,TURPENTINE,69 MG
2440,PHENOL,25 MG
2440,OIL OF CEDAR LEAF,.62 MG
2440,METHYL SALICYLATE,48 MG
2440,IRON (IRON DEXTRAN COMPLEX),100 MG
2440,ALCOHOL ANHYDROUS,.2 ML
2441,OXTRIPHYLLINE,20 MG
2449,GARLIC,1 X
2449,AMBRA GRISEA,3 X
2449,ABIES NIGRA,1 X
2449,DEXTROMETHORPHAN HYDROBROMIDE,7.5 MG
2449,POTASSIUM CHLORIDE,0.3 MG
2449,SODIUM CHLORIDE,6.0 MG
2449,CALCIUM CHLORIDE,0.2 MG
2449,SODIUM LACTATE,3.1 MG
2449,OXYGEN,99 %
2449,TRIAMTERENE,50 MG
2449,ISOPROTERENOL HYDROCHLORIDE,.2 MG
2449,EPSIPRANTEL,100 MG
2450,EPSIPRANTEL,50 MG
2450,QUINIDINE SULFATE,300 MG
2450,VITAMIN C (CALCIUM ASCORBATE),500 MG
2450,CALCIUM (CALCIUM ASCORBATE),50 MG
2450,METHOCARBAMOL,100 MG
2456,THIAMINE MONONITRATE,1.32 MG
2456,D-PANTOTHENIC ACID,8.8 MG
2456,PYRIDOXINE HYDROCHLORIDE,1.32 MG
2456,BIOTIN,.11 MG
2469,PROMETHAZINE HYDROCHLORIDE,10 MG
2469,TETRACYCLINE HYDROCHLORIDE,250 MG
2469,DEXAMETHASONE,10 MG
2474,BENZALKONIUM CHLORIDE,1.25 %
2474,ALKYL DIMETHYL ETHYLBENZYL AMMONIUM CHLORIDE,1.25 %
2474,NITROFURANTOIN,15 MG
2474,NICOTINAMIDE,100 MG
2474,RIBOFLAVIN 5'-PHOSPHATE SODIUM,4 MG
2475,THIAMINE HYDROCHLORIDE,75 MG
2476,PYRIDOXINE HYDROCHLORIDE,4 MG
2486,INOSITOL,4 MG
2486,FERRIC AMMONIUM CITRATE,20 MG
2487,COBALT GLUCONATE,.7 MG
2487,LIVER EXTRACT,100 MG
273,DEXPANTHENOL,15 MG
273,CHOLINE CHLORIDE,4 MG
278,VITAMIN B12,150 MCG
288,NICOTINAMIDE,100 MG
288,RIBOFLAVIN 5'-PHOSPHATE SODIUM,4 MG
288,THIAMINE HYDROCHLORIDE,75 MG
288,PYRIDOXINE HYDROCHLORIDE,4 MG
289,INOSITOL,4 MG
289,FERRIC AMMONIUM CITRATE,20 MG
289,COBALT GLUCONATE,.7 MG
301,LIVER EXTRACT,100 MG
302,DEXPANTHENOL,15 MG
311,CHOLINE CHLORIDE,4 MG
312,VITAMIN B12,150 MCG
313,BENZALKONIUM CHLORIDE,0.14 %
314,ISOPROPYL ALCOHOL,8 %
322,ALKYL DIMETHYL ETHYLBENZYL AMMONIUM CHLORIDE,0.14 %
322,ATOVAQUONE,250 MG
323,DANTHRON,50 MG
324,DOCUSATE SODIUM,60 MG
327,DOCUSATE SODIUM,100 MG
327,BETA-CAROTENE,25000 UNIT
328,VITAMIN C,500 MG
328,D-ALPHA TOCOPHERYL ACID SUCCINATE,100 UNIT
329,SELENIUM (SELENIUM HVP CHELATE),50 MCG
329,BENZOCAINE,180 MG
329,BENZALKONIUM CHLORIDE,1 MG
331,ALTRENOGEST,2.15 MG
345,ALTEPLASE,50 MG
345,WATER,50 ML
345,STANNOUS FLUORIDE,0.4 %
347,CHLORHEXIDINE GLUCONATE,4 %
348,KOLA,350 MG
3479,KOLA,230 MG
3480,SENNA,136 MG
3480,YELLOW DOCK,77 MG
3482,JUGLANS NIGRA,7 MG
3483,ALOE,7 MG
3487,BERBERIS AQUIFOLIUM,78 MG
3493,ELM BARK,9 MG
3493,CASCARA SAGRADA,136 MG
3494,KOLA,230 MG
3524,NICOTINAMIDE,50 MG
3527,THIAMINE MONONITRATE,35 MG
3527,CALCIUM D-PANTOTHENATE,20 MG
3528,PYRIDOXINE HYDROCHLORIDE,5 MG
3528,VITAMIN B2,15 MG
3528,VITAMIN C,300 MG
3529,VITAMIN B12,10 MCG
3530,OLEANDER,3 X
3530,CYTISUS SCOPARIUS,2 X
3530,HAWTHORN,1 X
3530,PRUNUS LAUROCERASUS L.,3 X
3531,SCARLET RED,5 %
3531,VITAMIN D3,55000 UNIT
3531,CHLORTETRACYCLINE HYDROCHLORIDE,4.4 G
3531,VITAMIN E,550 UNIT
3531,VITAMIN A,555000 UNIT
3531,ANACARDIUM ORIENTALE,6 D
3531,LYCOPODIUM,5 D
3532,FIGWORT,1 D
3532,SILVER NITRATE,6 D
3532,CELANDINE,3 D
3532,CHARCOAL ACTIVATED,8 D
3547,CHAMOMILE,2 D
3547,BELLADONNA,4 D
3549,SPIGELIA,4 D
